Timestamp,Institution,Location,Subject Area,Review Date,URL,Rank,Appointment,Last Update,Notes,Number Applied,Mod Flag,Notes Backup,Number Applied
10/5/2022 14:29,Georgetown University,District of Columbia,Microbiology,11/1/2022,https://www.asmcareerconnections.org/job/assistant-professor-of-microbiology/65934100/,Asst Prof,Tenure Track,10/5/2022 14:30,"Individuals whose research focuses on prokaryotes, microbial cell biology, environmental microbiology, extremophiles, or host-microbe interactions will best complement current departmental strengths, but we are open to a wide range of specific research topic foci and approaches.",,FALSE,"Individuals whose research focuses on prokaryotes, microbial cell biology, environmental microbiology, extremophiles, or host-microbe interactions will best complement current departmental strengths, but we are open to a wide range of specific research topic foci and approaches.",
10/5/2022 12:29,Oklahoma State University,Oklahoma,Plant Pathology,11/15/2022,https://okstate.csod.com/ats/careersite/JobDetails.aspx?site=8&id=12483,Asst Prof,Tenure Track,10/5/2022 16:01,"70% Extension/30% Research. Focused on mangement of horticultural crop diseases in such a way that ecosystem health is improved. Looking for implementation of ""ecological, technological, genetic, geographic, computational, and/or microbial tools."" Crops of interest include but are not limited to pecans, greenhouse/landscape herbaceous/woody ornamentals, and grapes but not turf. 1) You heard 'em, they don't want any of us poor sods",,FALSE,"70% Extension/30% Research. Focused on mangement of horticultural crop diseases in such a way that ecosystem health is improved. Looking for implementation of ""ecological, technological, genetic, geographic, computational, and/or microbial tools."" Crops of interest include but are not limited to pecans, greenhouse/landscape herbaceous/woody ornamentals, and grapes but not turf. 1) You heard 'em, they don't want any of us poor sods",
10/5/2022 11:33,Western Illinois University,Illinois,Wildlife Ecologist ,10/5/2022,https://wiu.interviewexchange.com/jobofferdetails.jsp?JOBID=148345,Asst Prof,Tenure Track,10/5/2022 18:02,"""Screening will begin on September 1, 2022"" and ""Appointment: January 2023"" this is active. ""Posted: Jun 1, 2022""",,FALSE,"""Screening will begin on September 1, 2022"" and ""Appointment: January 2023"" this is active. ""Posted: Jun 1, 2022""",
10/5/2022 10:39,Saint Louis University,Missouri,Neuroscience,,https://slu.wd5.myworkdayjobs.com/en-US/Careers/job/Macelwane-Hall/Assistant---Associate-Professor--Neuroscience_2022-05878,Asst / Assoc Prof,Tenure Track,10/5/2022 10:53,"Including, but not limited to developmental neuroscience, neurophysiology, neuroendocrinology",,FALSE,"Including, but not limited to developmental neuroscience, neurophysiology, neuroendocrinology",
10/5/2022 10:37,Saint Louis University,Missouri,Developmental Biology,,https://slu.wd5.myworkdayjobs.com/en-US/Careers/job/Macelwane-Hall/Assistant---Associate-Professor--Developmental-Biology_2022-05870?source=circa,Asst / Assoc Prof,Tenure Track,10/5/2022 10:44,"including, but not limited to: stem cell biology, cell fate specification, aging, growth and regeneration, developmental genomics, evolution and development, and models of developmental disorders.",,FALSE,"including, but not limited to: stem cell biology, cell fate specification, aging, growth and regeneration, developmental genomics, evolution and development, and models of developmental disorders.",
10/5/2022 10:36,Saint Louis University,Missouri,Microbiology (disease ecology & other fields),,https://slu.wd5.myworkdayjobs.com/en-US/Careers/job/Macelwane-Hall/Assistant---Associate-Professor--Microbiology_2022-05877?source=HigherEdJobs,Asst / Assoc Prof,Tenure Track,10/5/2022 10:44,"areas open: disease ecology, host-pathogen interactions, microbial diversity and evolution, microbial ecology...",,FALSE,"areas open: disease ecology, host-pathogen interactions, microbial diversity and evolution, microbial ecology...",
10/5/2022 9:51,Karlstad University,Sweden,Ecology,10/30/2022,https://kau.varbi.com/en/what:job/jobID:549601/,Sr Lecturer,Tenure Track,10/5/2022 13:31,"""specialisation in ecology, focusing on plants and vegetation within a field that compliments the research done in the The River Ecology and Management Research Group""",,FALSE,"""specialisation in ecology, focusing on plants and vegetation within a field that compliments the research done in the The River Ecology and Management Research Group""",
10/5/2022 9:27,University of Essex,United Kingdom,Marine Biology,11/13/2022,https://vacancies.essex.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=200562R0sy&WVID=9918109NEm&LANG=USA,Asst Prof,Permanent Non-TT,10/5/2022 9:50,ideally with some lab and field experience. Ideally coral reef biology/ecology/physiology or fisheries but NOT essential!,,FALSE,ideally with some lab and field experience. Ideally coral reef biology/ecology/physiology or fisheries but NOT essential!,
10/5/2022 8:51,Howard University,District of Columbia,"Cluster hire: Ecology, Evolution, Invertebrate Bio, Bioinformatics, STEM Education, Cell Bio",11/10/2022,https://jobs.chronicle.com/job/37332647/assistant-or-associate-professor-department-of-biology/,Asst / Assoc Prof,Tenure Track,10/5/2022 8:54,"Howard is a private R2 HBCU, and the Department of Biology has a strong PhD program and research-active faculty. Folks on this list may be interested in the ecology and/or evolution position (broadly defined), invertebrate biology (any field), bioinformatics (could include a big-data geneticist), or the STEM education position.",,FALSE,"Howard is a private R2 HBCU, and the Department of Biology has a strong PhD program and research-active faculty. Folks on this list may be interested in the ecology and/or evolution position (broadly defined), invertebrate biology (any field), bioinformatics (could include a big-data geneticist), or the STEM education position.",
10/5/2022 7:03,New Jersey Institute of Technology,New Jersey,Comparative Biology,11/25/2022,https://www.nature.com/naturecareers/job/assistant-professor-comparative-biology-new-jersey-institute-of-technology-njit-764296,Asst Prof,Tenure Track,10/5/2022 7:05,"""uses cell and molecular biology tools to study development, evolution, ecology, or neurobiology. Preferred candidates combine a strong background in cell and molecular biology with an interest in important questions in comparative and systems biology.""",,FALSE,"""uses cell and molecular biology tools to study development, evolution, ecology, or neurobiology. Preferred candidates combine a strong background in cell and molecular biology with an interest in important questions in comparative and systems biology.""",
10/4/2022 15:47,Duke University,North Carolina,Coastal / Marine Climate Change (CMCC),12/1/2022,https://apptrkr.com/3506034,Asst Prof,Tenure Track,10/5/2022 11:02,"Based in Durham or at the Duke Marine Lab? 2) @1 Ad lists both, but it'd be good to hear from someone who knows if there's a preference.  Beaufort and the Triangle are very different places to live. ",,FALSE,"Based in Durham or at the Duke Marine Lab? 2) @1 Ad lists both, but it'd be good to hear from someone who knows if there's a preference.  Beaufort and the Triangle are very different places to live. ",
